#gene_id	gene_name	gene_type	transcript_id	≥30X	30_20X	≤20X
ENSG00000186092.7	OR4F5	protein_coding	ENST00000641515.2	83.13	2.76	19.63
ENSG00000284733.2	OR4F29	protein_coding	ENST00000426406.4	100.00	0.00	0.00
ENSG00000284662.2	OR4F16	protein_coding	ENST00000332831.5	100.00	0.00	0.00
ENSG00000187634.13	SAMD11	protein_coding	ENST00000616016.5	100.00	0.00	0.00
ENSG00000188976.11	NOC2L	protein_coding	ENST00000327044.7	100.00	0.00	0.00
ENSG00000187961.15	KLHL17	protein_coding	ENST00000338591.8	100.00	0.00	0.00
ENSG00000187583.11	PLEKHN1	protein_coding	ENST00000379410.8	100.00	0.00	0.00
ENSG00000187642.10	PERM1	protein_coding	ENST00000433179.4	100.00	0.00	0.00
ENSG00000188290.11	HES4	protein_coding	ENST00000304952.11	100.00	0.00	0.00
ENSG00000187608.10	ISG15	protein_coding	ENST00000649529.1	100.00	0.00	0.00
